2024-06-30 14:56:39 status half-installed libseccomp2:amd64 2.5.1-1+deb11u1
2024-06-30 14:56:39 status unpacked libseccomp2:amd64 2.5.1-1+deb11u1
2024-06-30 14:56:39 install libselinux1:amd64 <none> 3.1-3
2024-06-30 14:56:39 status half-installed libselinux1:amd64 3.1-3
2024-06-30 14:56:40 status unpacked libselinux1:amd64 3.1-3
2024-06-30 14:56:40 install libsemanage-common:all <none> 3.1-1
2024-06-30 14:56:40 status half-installed libsemanage-common:all 3.1-1
2024-06-30 14:56:40 status unpacked libsemanage-common:all 3.1-1
2024-06-30 14:56:40 install libsemanage1:amd64 <none> 3.1-1+b2
2024-06-30 14:56:40 status half-installed libsemanage1:amd64 3.1-1+b2
2024-06-30 14:56:40 status unpacked libsemanage1:amd64 3.1-1+b2
2024-06-30 14:56:40 install libsepol1:amd64 <none> 3.1-1
2024-06-30 14:56:40 status half-installed libsepol1:amd64 3.1-1
2024-06-30 14:56:40 status unpacked libsepol1:amd64 3.1-1
2024-06-30 14:56:40 install libsmartcols1:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 14:56:40 status half-installed libsmartcols1:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:40 status unpacked libsmartcols1:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:40 install libss2:amd64 <none> 1.46.2-2
2024-06-30 14:56:40 status half-installed libss2:amd64 1.46.2-2
2024-06-30 14:56:40 status unpacked libss2:amd64 1.46.2-2
2024-06-30 14:56:40 install libssl1.1:amd64 <none> 1.1.1w-0+deb11u1
2024-06-30 14:56:40 status half-installed libssl1.1:amd64 1.1.1w-0+deb11u1
2024-06-30 14:56:40 status unpacked libssl1.1:amd64 1.1.1w-0+deb11u1
2024-06-30 14:56:40 install libstdc++6:amd64 <none> 10.2.1-6
2024-06-30 14:56:40 status half-installed libstdc++6:amd64 10.2.1-6
2024-06-30 14:56:40 status unpacked libstdc++6:amd64 10.2.1-6
2024-06-30 14:56:40 install libsystemd0:amd64 <none> 247.3-7+deb11u5
2024-06-30 14:56:40 status half-installed libsystemd0:amd64 247.3-7+deb11u5
2024-06-30 14:56:40 status unpacked libsystemd0:amd64 247.3-7+deb11u5
2024-06-30 14:56:40 install libtasn1-6:amd64 <none> 4.16.0-2+deb11u1
2024-06-30 14:56:40 status half-installed libtasn1-6:amd64 4.16.0-2+deb11u1
