2024-06-30 16:21:58 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
2024-06-30 16:21:58 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2024-06-30 16:21:58 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2+deb11u2
2024-06-30 16:21:58 startup packages configure
2024-06-30 16:21:58 configure lsb-base:all 11.1.0 <none>
2024-06-30 16:21:58 status unpacked lsb-base:all 11.1.0
2024-06-30 16:21:58 status half-configured lsb-base:all 11.1.0
2024-06-30 16:21:58 status installed lsb-base:all 11.1.0
2024-06-30 16:21:58 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2024-06-30 16:21:58 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 16:21:58 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 16:21:58 status installed libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 16:21:58 configure debian-archive-keyring:all 2021.1.1+deb11u1 <none>
2024-06-30 16:21:58 status unpacked debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 16:21:58 status half-configured debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 16:21:58 status installed debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 16:21:58 configure libaudit-common:all 1:3.0-2 <none>
